"model","AUC","Var.AUC","CI.lower","CI.upper"
"APACHEII",0.997747747747748,4.21962262386159e-05,0.985016091709182,1
"CURB_65",0.726976976976977,0.00370595854585521,0.607661063767119,0.846292890186835
"CURB_65 + APACHEII",1,0,1,1
"PCT",0.609359359359359,0.00428233686579959,0.481100165824122,0.737618552894597
"PCT + APACHEII",0.998998998998999,1.8772615115629e-05,0.990506989347366,1
"PCT + CURB_65",0.791291291291291,0.00311921697406695,0.681827399716543,0.90075518286604
"PCT + CURB_65 + APACHEII",1,0,1,1
